,Date,Time,Tair,Tsoil,RH,VPD,u,LAI,SWC,SW,PAR,APAR,GPP_canopy,Reco_canopy,NEE_canopy,SIFcanopy_760nm,APAR_label,SIF_NN,NEE_NN,GPP_NN,Reco_NN,Reco_NT,Reco_DT,GPP_NT,GPP_DT
6/19/13 00:00,6/19/13,00:00:00,12.6,18.77,94.50072,0.080579841,1.4,4.221,0.619,0,0,0,0,3.462619832,3.462619832,0,0,-0.002271642,3.46163211,0,3.46163211,3.7114,3.85449,0.16362558,0
6/19/13 01:00,6/19/13,01:00:00,12.3,17.72,95.70137,0.061743074,1.5,4.221,0.619,0,0,0,0,3.361381784,3.361381784,0,0,-0.000494679,3.40418774,0,3.40418774,3.5954,3.80941,0.32443064,0
6/19/13 02:00,6/19/13,02:00:00,11.9,16.87,93.79667,0.086757113,2,4.221,0.619,0,0,0,0,3.267782958,3.267782958,0,0,-0.000112908,3.18377684,0,3.18377684,3.5014,3.7494,0.05782862,0
6/19/13 03:00,6/19/13,03:00:00,11.3,16.13,92.09961,0.10614532,2.3,4.221,0.619,0,0,0,0,3.188380126,3.188380126,0,0,0.001824505,3.09382356,0,3.09382356,3.4195,3.65963,0.6286241,0
6/19/13 04:00,6/19/13,04:00:00,11.2,15.43,88.10334,0.158769155,3,4.221,0.618,4.605,10.11,9.47,0.45,3.150787597,2.700787609,0.0093,0,2.63E-05,2.94495257,0.0405,2.98545257,3.3421,3.6447,0.6489701,0.37211
6/19/13 07:00,6/19/13,07:00:00,14.3,16.39,79.801216,0.331123391,1.9,4.221,0.618,415.058,912.89,860.77,20.26,3.719082792,-16.54091744,1.0231,1,1.1268123,-17.11896613,20.63420679,3.51524066,3.4483,4.11116,20.394674,20.94
6/19/13 08:00,6/19/13,08:00:00,15.6,17.71,75.00078,0.446148106,1.8,4.221,0.618,642.428,1413.73,1317.99,26.98,4.071355915,-22.90864363,1.5338,1,1.5097682,-22.93285072,26.67199588,3.73914516,3.5942,4.30855,26.21921,26.827
6/19/13 09:00,6/19/13,09:00:00,16.4,19.18,69.298386,0.577097458,1.9,4.221,0.617,818.269,1801.52,1653.89,31.06,4.329393049,-26.73060642,1.9009,1,1.93932,-26.83776556,30.64351955,3.80575399,3.7567,4.4304,28.785519,30.153
6/19/13 10:00,6/19/13,10:00:00,17.5,20.46,56.899387,0.869672177,2.1,4.221,0.615,917.694,2021.03,1829.29,32.14,4.569860933,-27.57013846,2.0952,1,2.1070437,-27.37026087,31.25050092,3.88024005,3.8978,4.59831,31.010208,31.708
6/19/13 11:00,6/19/13,11:00:00,18.4,21.63,51.09944,1.045201114,2.1,4.221,0.614,1009.613,2223.83,1995.44,32.7,4.825288498,-27.87471226,2.2727,1,2.2621627,-27.88877557,31.83601095,3.94723538,4.0266,4.73594,33.045807,32.984
